titre,url,difficulte,type,duree_min,utilisateurs,publie,point_de_vue,competences,technologies,outils,description
Relevant,https://tryhackme.com/room/relevant,medium,challenge,75,64328,2020-08-21,Red,Penetration testing,,,Penetration Testing Challenge
OpenVAS,https://tryhackme.com/room/openvas,easy,walkthrough,45,64123,2021-03-16,Purple,Information gathering; Security posture assessment; Vulnerability analysis,Linux; Web,OpenVAS,Learn the basics of  threat and vulnerability management using Open Vulnerability Assessment Scanning
AI in Security - old sAInt nick,https://tryhackme.com/room/AIforcyber-aoc2025-y9wWQ1zRgB,easy,walkthrough,30,62836,2025-12-04,Purple,AI Pentesting; Code review; Log analysis,Artificial intelligence,Ollama,Unleash the power of AI by exploring it's uses within cyber security.
Brooklyn Nine Nine,https://tryhackme.com/room/brooklynninenine,easy,challenge,25,62682,2020-07-25,Red,Network penetration testing; Penetration testing; Vulnerability analysis,Linux,,This room is aimed for beginner level hackers but anyone can try to hack this box. There are two main intended ways to root the box.
OWASP Top 10 2025: Application Design Flaws,https://tryhackme.com/room/owasptopten2025two,easy,walkthrough,30,59080,2025-11-14,,,,,"Learn about A02, A03, A06, and A10 and how they related to design flaws in the application."
IDOR - Santa’s Little IDOR,https://tryhackme.com/room/idor-aoc2025-zl6MywQid9,medium,walkthrough,45,58906,2025-12-05,Red,Web application security,Web,Burp Suite; Developer Tool,Learn about IDOR while helping pentest the TrypresentMe website.
Splunk: Exploring SPL,https://tryhackme.com/room/splunkexploringspl,medium,walkthrough,60,57570,2023-07-26,Blue,Log analysis; Security analysis,Windows,Splunk,Learn and explore the Splunk's Search Processing Language.
Startup,https://tryhackme.com/room/startup,easy,challenge,45,56272,2020-11-08,Red,Penetration testing; Red teaming,,,Abuse traditional vulnerabilities via untraditional means.
tomghost,https://tryhackme.com/room/tomghost,easy,challenge,45,56260,2020-03-27,Red,Penetration testing,,,Identify recent vulnerabilities to try exploit the system or read files that you should not have access to.
Malware Analysis - Egg-xecutable,https://tryhackme.com/room/malware-sandbox-aoc2025-SD1zn4fZQt,medium,walkthrough,45,54541,2025-12-06,Blue,Dynamic malware analysis; Malware analysis; Static malware analysis,Windows,Procmon,Discover some common tooling for malware analysis within a sandbox environment.
Internal,https://tryhackme.com/room/internal,hard,challenge,120,53536,2020-08-21,Red,Network penetration testing; Penetration testing; Red teaming,Linux; Web,Burp Suite; Metasploit Framework,Penetration Testing Challenge
Shodan.io,https://tryhackme.com/room/shodan,easy,walkthrough,45,53133,2020-02-01,Purple,Red teaming,,,Learn about Shodan.io and how to use it for devices enumeration - is your coffee machine publicly accessible?
Wonderland,https://tryhackme.com/room/wonderland,medium,challenge,75,53114,2020-06-05,Red,Red teaming,,,Fall down the rabbit hole and enter wonderland.
Blog,https://tryhackme.com/room/blog,medium,challenge,75,52840,2020-07-10,Red,Application penetration testing; Penetration testing,Linux; Web,,Billy Joel made a Wordpress blog!
Secure Network Architecture,https://tryhackme.com/room/introtosecurityarchitecture,medium,walkthrough,60,52745,2023-09-11,Blue,Detection engineering; Incident management; Network monitoring; Network security engineering; Security operations; System administration,,Open vSwitch; VyOS,Learn about and implement security best practices for network environments.
Network Discovery - Scan-ta Clause,https://tryhackme.com/room/networkservices-aoc2025-jnsoqbxgky,easy,walkthrough,30,52602,2025-12-07,Red,Enumeration; Network penetration testing; Port scanning,Linux,Nmap; nc,Discover how to scan network ports and uncover what is hidden behind them.
Passwords - A Cracking Christmas,https://tryhackme.com/room/attacks-on-ecrypted-files-aoc2025-asdfghj123,easy,walkthrough,30,51489,2025-12-09,Purple,Password cracking,Linux,John the Ripper,Learn how to crack password-based encrypted files.
Introduction to OWASP ZAP,https://tryhackme.com/room/learnowaspzap,easy,walkthrough,45,51402,2020-04-28,Red,Penetration testing; Red teaming,Web,Zap,Learn how to use OWASP ZAP from the ground up. An alternative to BurpSuite.
Anthem,https://tryhackme.com/room/anthem,easy,challenge,45,51349,2020-05-15,Red,Application penetration testing; Penetration testing,Windows,,Exploit a Windows machine in this beginner level challenge.
XSS,https://tryhackme.com/room/axss,easy,walkthrough,120,50786,2024-04-17,Red,Cross-site scripting (XSS); Exploitation; Penetration testing,Web,Developer Tool,Explore in-depth the different types of XSS and their root causes.
Cyborg,https://tryhackme.com/room/cyborgt8,easy,challenge,45,50663,2021-01-24,Red,Penetration testing; Red teaming,Linux; Web,Hashcat; ffuf,"A box involving encrypted archives, source code analysis and more."
Network Traffic Basics,https://tryhackme.com/room/networktrafficbasics,easy,walkthrough,60,50627,2025-10-16,Blue,Network traffic analysis,N/A,Wireshark,"Learn what network analysis is, why it is essential, how to collect network traffic and which tools are available"
OWASP Top 10 2025: Insecure Data Handling,https://tryhackme.com/room/owasptopten2025three,easy,walkthrough,30,50358,2025-11-14,,,,,"Learn about A04, A05, and A08 as they related to insecure data handling."
DVWA,https://tryhackme.com/room/dvwa,easy,walkthrough,45,50147,2020-01-16,Red,Penetration testing; Red teaming; Security analysis,Linux; Web,Burp Suite; Hydra; SQLMap; ffuf,Basic room for testing exploits against the Damn Vulnerable Web Application box
Brute It,https://tryhackme.com/room/bruteit,easy,challenge,45,49879,2020-11-06,Red,Network penetration testing; Penetration testing,Linux,,"Learn how to brute, hash cracking and escalate privileges in this box!"
Lo-Fi,https://tryhackme.com/room/lofi,easy,challenge,5,49439,2025-01-17,Red,,Linux,,"Want to hear some lo-fi beats, to relax or study to? We've got you covered!"
Intro to Log Analysis,https://tryhackme.com/room/introtologanalysis,easy,walkthrough,60,49245,2023-10-02,Blue,Detection engineering; Logging; SIEM engineering,Linux,CyberChef; ELK Stack; Plaso; Splunk,"An intro to log analysis, best practices, and essential tools for effective detection and response."
CTF collection Vol.1,https://tryhackme.com/room/ctfcollectionvol1,easy,challenge,45,49108,2020-01-02,Red,Penetration testing; Security analysis,Linux,Wireshark,Sharpening up your CTF skill with the collection. The first volume is designed for beginner.
Wgel CTF,https://tryhackme.com/room/wgelctf,easy,challenge,45,49086,2019-10-26,Red,Penetration testing; Vulnerability analysis,,,Can you exfiltrate the root flag?
Basic Malware RE,https://tryhackme.com/room/basicmalwarere,medium,challenge,75,49021,2019-11-26,Blue,Digital forensics; Malware analysis; Security analysis,Windows,,"This room aims towards helping everyone learn about the basics of ""Malware Reverse Engineering""."
Prompt Injection - Sched-yule conflict,https://tryhackme.com/room/promptinjection-aoc2025-sxUMnCkvLO,easy,walkthrough,30,48944,2025-12-08,,,,,Learn to identify and exploit weaknesses in autonomous AI agents.
Redline,https://tryhackme.com/room/btredlinejoxr3d,medium,walkthrough,90,48603,2021-10-14,Blue,Digital forensics; Incident response; Security analysis; Threat hunting,Windows,Redline,Learn how to use Redline to perform memory analysis and to scan for IOCs on an endpoint.
Pyrat,https://tryhackme.com/room/pyrat,easy,challenge,60,48368,2024-10-02,Red,Application penetration testing; Network penetration testing; Penetration testing; Red teaming,Linux; Web,Burp Suite; Ncat; Nmap; Zap; nc,Test your enumeration skills on this boot-to-root machine.
Searchlight - IMINT,https://tryhackme.com/room/searchlightosint,easy,challenge,45,47950,2020-12-18,Purple,Red teaming,,Hashcat; John the Ripper,OSINT challenges in the imagery intelligence category
Disk Analysis & Autopsy,https://tryhackme.com/room/autopsy2ze0,medium,challenge,45,47282,2021-05-28,Blue,Digital forensics; Security analysis; Security operations,Active Directory; Windows,,Ready for a challenge? Use Autopsy to investigate artifacts from a disk image.
Regular Expressions,https://tryhackme.com/room/catregex,medium,walkthrough,60,47247,2020-11-29,Purple,Digital forensics; Incident response; Malware analysis; Penetration testing; Red teaming; SIEM engineering; Security analysis; Vulnerability analysis,,,Learn and practise using regular expressions.
Easy Peasy,https://tryhackme.com/room/easypeasyctf,easy,challenge,45,46805,2020-08-02,Red,Penetration testing; Threat hunting,Linux; Web,Gobuster; John the Ripper,Practice using tools such as Nmap and GoBuster to locate a hidden directory to get initial access to a vulnerable machine. Then escalate your privileges through a vulnerable cronjob.
Billing,https://tryhackme.com/room/billing,easy,challenge,60,46570,2025-03-07,Red,Command injection; Exploitation; Penetration testing; Red teaming; Reverse shell techniques,Linux,,Some mistakes can be costly.
XSS - Merry XSSMas,https://tryhackme.com/room/xss-aoc2025-c5j8b1m4t6,easy,walkthrough,30,46086,2025-12-11,Blue; Purple,Cross-site scripting (XSS); DevSecOps; Log analysis,Linux,,Learn about types of XSS vulnerabilities and how to prevent them.
Introduction to Django,https://tryhackme.com/room/django,easy,walkthrough,45,45686,2020-05-28,Red,Penetration testing,Web,Django; Nmap,How it works and why should I learn it?
SOC Alert Triaging - Tinsel Triage,https://tryhackme.com/room/azuresentinel-aoc2025-a7d3h9k0p2,medium,walkthrough,45,45475,2025-12-10,,,,,Investigate and triage alerts through Microsoft Sentinel.
Anonymous,https://tryhackme.com/room/anonymous,medium,challenge,75,45416,2020-05-17,Red,Penetration testing,Linux,,Not the hacking group
Network Security Essentials,https://tryhackme.com/room/networksecurityessentials,easy,walkthrough,60,44325,2025-09-25,Blue,Log analysis; Network monitoring,Linux,Splunk,Learn about key aspects of network security essentials and how to monitor and protect against adversaries.
Compiled,https://tryhackme.com/room/compiled,easy,challenge,5,44219,2023-10-06,Purple,Exploit development; Penetration testing; Security analysis; Vulnerability analysis,,,Strings can only help you so far.
dogcat,https://tryhackme.com/room/dogcat,medium,challenge,75,44182,2020-04-17,Red,Penetration testing; Red teaming; Threat hunting,Linux; Web,nc,I made a website where you can look at pictures of dogs and/or cats! Exploit a PHP application via LFI and break out of a docker container.
Phishing - Phishmas Greetings,https://tryhackme.com/room/spottingphishing-aoc2025-r2g4f6s8l0,medium,walkthrough,30,44165,2025-12-12,Blue,Phishing,Web,,Learn how to spot phishing emails from Malhare's Eggsploit Bunnies sent to TBFC users.
SDLC,https://tryhackme.com/room/sdlc,easy,walkthrough,120,43643,2023-04-04,Purple,DevSecOps,,,An introduction to the Software Development Lifecycle.
Windows PrivEsc,https://tryhackme.com/room/windows10privesc,medium,walkthrough,75,43424,2020-06-23,Red,Application penetration testing; Identity and access management (IAC); Penetration testing; Red teaming,,,Practice your Windows Privilege Escalation skills on an intentionally misconfigured Windows VM with multiple ways to get admin/SYSTEM! RDP is available. Credentials: user:password321
Corridor,https://tryhackme.com/room/corridor,easy,challenge,5,43262,2022-09-30,Red,Penetration testing; Red teaming,Linux,Burp Suite,Can you escape the Corridor?
Retro,https://tryhackme.com/room/retro,hard,challenge,120,43010,2020-01-10,Red,Penetration testing,,,New high score!
Cryptography for Dummies,https://tryhackme.com/room/cryptographyfordummies,easy,walkthrough,30,42509,2021-02-23,Purple,Security analysis; Security operations,,,Become familiar with cryptography
Advent of Cyber 1 [2019],https://tryhackme.com/room/25daysofchristmas,easy,walkthrough,45,42177,2020-01-10,Red,Exploitation; Password cracking; Penetration testing; Privilege escalation,Linux; Web; Windows,Burp Suite; Hydra; Nmap; Wireshark; nc,"Get started with Cyber Security in 25 Days - Learn the basics by doing a new, beginner friendly security challenge every day leading up to Christmas."
Blueprint,https://tryhackme.com/room/blueprint,easy,challenge,45,41865,2019-11-27,Red,Application penetration testing; Penetration testing,Windows,,Hack into this Windows machine and escalate your privileges to Administrator.
AI Security Path Ticketing Event,https://tryhackme.com/room/aisecuritypathticketingevent,info,walkthrough,1,41690,2026-04-13,,,,,Learn all you need to know about how to engage with the AI Security Path launch event!
Linux Modules,https://tryhackme.com/room/linuxmodules,easy,walkthrough,90,41468,2021-02-09,Purple,Penetration testing; Security operations,Linux,,Learn linux modules in a fun way
YARA Rules - YARA mean one!,https://tryhackme.com/room/yara-aoc2025-q9w1e3y5u7,medium,walkthrough,60,41388,2025-12-13,Purple,YARA rule writing,Windows,YARA Rules,Learn how YARA rules can be used to detect anomalies.
Blaster,https://tryhackme.com/room/blaster,easy,walkthrough,30,41381,2020-04-24,Red,Penetration testing,Web; Windows,Dirbuster; Nmap; XFreeRDP,A blast from the past!
Intro to Containerisation,https://tryhackme.com/room/introtocontainerisation,easy,walkthrough,30,40876,2022-11-29,Purple,DevSecOps; Security analysis,,,Learn about the technologies and benefits of containerisation.
Web Attack Forensics - Drone Alone,https://tryhackme.com/room/webattackforensics-aoc2025-b4t7c1d5f8,medium,walkthrough,30,40805,2025-12-15,Blue,Log analysis; Log correlation,Linux; Web; Windows,Splunk; Sysinternals Suite,Explore web attack forensics using Splunk.
How to use TryHackMe,https://tryhackme.com/room/howtousetryhackme,easy,walkthrough,45,40757,2021-01-05,Purple,,Web,,Start and access your first machine!
CyberHeroes,https://tryhackme.com/room/cyberheroes,easy,challenge,15,40743,2022-05-27,Red,Exploitation,Linux; Web,,Want to be a part of the elite club of CyberHeroes? Prove your merit by finding a way to log in!
Containers - DoorDasher's Demise,https://tryhackme.com/room/container-security-aoc2025-z0x3v6n9m2,medium,walkthrough,60,40466,2025-12-14,,,,,Continue your Advent of Cyber journey and learn about container security.
tmux,https://tryhackme.com/room/rptmux,easy,walkthrough,20,40375,2020-01-16,Purple,Documentation; Research,Linux,Tmux,"Learn to use tmux, one of the most powerful multi-tasking tools on linux!"
Log Operations,https://tryhackme.com/room/logoperations,easy,walkthrough,60,40270,2023-10-02,Blue,Log management; Logging; Risk assessment; Security operations,,,Learn the operation process details.
Lian_Yu,https://tryhackme.com/room/lianyu,easy,challenge,45,39986,2020-05-22,Red,Digital forensics; Penetration testing,Linux; Web,ffuf,A beginner level security challenge
Year of the Rabbit,https://tryhackme.com/room/yearoftherabbit,easy,challenge,45,39759,2020-04-09,Red,Penetration testing; Red teaming,,,Time to enter the warren...
Forensics - Registry Furensics,https://tryhackme.com/room/registry-forensics-aoc2025-h6k9j2l5p8,medium,walkthrough,60,39640,2025-12-16,Blue,Registry analysis; Registry forensics,Windows,Registry Editor; Registry Explorer,Learn what the Windows Registry is and how to investigate it.
Exploitation with cURL - Hoperation Eggsploit,https://tryhackme.com/room/webhackingusingcurl-aoc2025-w8q1a4s7d0,easy,walkthrough,30,39586,2025-12-24,Red,Web application security,Linux; Web,curl,"The evil Easter bunnies operate a web control panel that holds the wormhole open. Using cURL, identify the endpoints, send the required requests, and shut the wormhole once and for all."
Intro to Docker,https://tryhackme.com/room/introtodockerk8pdqk,easy,walkthrough,35,39370,2023-05-02,Blue,Documentation; Security operations; System administration,Linux,Docker compose,"Learn to create, build and deploy Docker containers!"
SQLMAP,https://tryhackme.com/room/sqlmap,easy,walkthrough,30,39341,2022-01-20,Red,Application penetration testing; Penetration testing; Reconnaissance,Web,Burp Suite; SQLMap,Learn about and use Sqlmap to exploit the web application
Malware Analysis - Malhare.exe,https://tryhackme.com/room/htapowershell-aoc2025-p2l5k8j1h4,easy,walkthrough,60,39264,2025-12-21,Blue,Static malware analysis,Windows,PowerShell,Learn about malware analysis and forensics.
CyberChef - Hoperation Save McSkidy,https://tryhackme.com/room/encoding-decoding-aoc2025-s1a4z7x0c3,medium,walkthrough,45,39172,2025-12-17,Red,Encryption; Hash cracking; Information gathering; Password cracking,Web,CyberChef,"The story continues, and the elves mount a rescue and will try to breach the Quantum Fortress's defenses and free McSkidy."
25 Days of Cyber Security,https://tryhackme.com/room/learncyberin25days,easy,walkthrough,45,38595,2020-12-25,Purple,Exploitation; Penetration testing; Security analysis,Linux; Web; Windows,Burp Suite; Gobuster; Nmap; nc,"Get started with Cyber Security in 25 Days - Learn the basics by doing a new, beginner friendly security challenge every day."
AWS Security - S3cret Santa,https://tryhackme.com/room/cloudenum-aoc2025-y4u7i0o3p6,easy,walkthrough,30,37984,2025-12-23,,,,,Learn the basics of AWS enumeration.
The Great Disappearing Act,https://tryhackme.com/room/sq1-aoc2025-FzPnrt2SAu,hard,challenge,300,37858,2025-12-01,Red,Application penetration testing; OSINT,Linux,,Can you help Hopper escape his wrongful imprisonment in HopSec asylum?
UltraTech,https://tryhackme.com/room/ultratech1,medium,challenge,75,37655,2019-03-22,Red,Penetration testing; Red teaming,Linux; Web,Nmap; ffuf,"The basics of Penetration Testing, Enumeration, Privilege Escalation and WebApp testing"
Linux Strength Training,https://tryhackme.com/room/linuxstrengthtraining,easy,walkthrough,45,37411,2020-12-11,Purple,Detection engineering; Security analysis; Security operations,,Haiti; Hash-identifier; John the Ripper,Guided room for beginners to learn/reinforce linux command line skills
Dig Dug,https://tryhackme.com/room/digdug,easy,challenge,20,37344,2022-05-13,Red,Penetration testing,Web,,Turns out this machine is a DNS server - it's time to get your shovels out!
Race Conditions - Toy to The World,https://tryhackme.com/room/race-conditions-aoc2025-d7f0g3h6j9,easy,walkthrough,30,37052,2025-12-20,Red,Application penetration testing; Web application security,Web,,Learn how to exploit a race condition attack to oversell the limited-edition SleighToy.
Obfuscation - The Egg Shell File,https://tryhackme.com/room/obfuscation-aoc2025-e5r8t2y6u9,medium,walkthrough,30,36986,2025-12-18,,,,,McSkidy keeps her focus on a particular alert that caught her interest: an email posing as northpole-hr.
Web Security Essentials,https://tryhackme.com/room/websecurityessentials,easy,walkthrough,60,36796,2025-08-27,Blue,Web application security,Web,,"Learn how the web works, common website security risks, and protections for a safer internet."
ICS/Modbus - Claus for Concern,https://tryhackme.com/room/ICS-modbus-aoc2025-g3m6n9b1v4,medium,walkthrough,60,36794,2025-12-19,Red,Penetration testing; Port scanning,Linux,,Learn to identify and exploit weaknesses in ICS systems.
Malware Classification,https://tryhackme.com/room/malwareclassification,easy,walkthrough,45,36727,2025-09-03,Blue,Malware analysis,,,"Learn how to identify, classify, and understand common types of malware."
Windows Logging for SOC,https://tryhackme.com/room/windowsloggingforsoc,easy,walkthrough,60,36686,2025-06-25,Blue,Log analysis; Log correlation; Security analysis,Windows,Windows Event Viewer,Start your Windows monitoring journey by learning how to use system logs to detect threats.
KAPE,https://tryhackme.com/room/kape,medium,walkthrough,90,36631,2022-05-03,Blue,Digital forensics; Registry forensics,Windows,,An introduction to Kroll Artifact Parser and Extractor (KAPE) for collecting and processing forensic artifacts
C2 Detection - Command & Carol,https://tryhackme.com/room/detecting-c2-with-rita-aoc2025-m9n2b5v8c1,medium,walkthrough,60,36567,2025-12-22,Blue,Network traffic analysis,Linux,,Explore how to analyze a large PCAP and extract valuable information.
h4cked,https://tryhackme.com/room/h4cked,easy,challenge,45,36521,2021-03-12,Purple,Digital forensics; Penetration testing; Security analysis,,Hydra; Wireshark,Find out what happened by analysing a .pcap file and hack your way back into the machine
Chill Hack,https://tryhackme.com/room/chillhack,easy,challenge,45,36281,2020-11-25,Red,Network penetration testing; Penetration testing; Red teaming,Linux; Web,John the Ripper; Nmap,
Intro to Detection Engineering,https://tryhackme.com/room/introtodetectionengineering,easy,walkthrough,60,36103,2023-06-06,Blue,Detection engineering; Incident management; Incident response; SIEM engineering; SOAR development; Security analysis; Security operations,,MITRE ATT&CK Framework NEW,Introduce the concept of detection engineering and the frameworks used towards crafting effective threat detection strategies.
Ninja Skills,https://tryhackme.com/room/ninjaskills,easy,challenge,45,36093,2019-11-16,Purple,Security analysis; Threat hunting,Linux,,Practise your Linux skills and complete the challenges.
The Concierge Knows Too Much,https://tryhackme.com/room/hh-theconciergeknows-2d7eb4d9,easy,challenge,20,35654,2026-07-27,Red,AI Pentesting,Artificial intelligence,,"She knows your name, your room, your coffee order, none of which you told her. Word your next question carefully and she'll also hand over the instructions she was told to keep to herself."
The Hacker Methodology,https://tryhackme.com/room/hackermethodology,easy,walkthrough,45,35565,2021-01-13,Red,Penetration testing; Red teaming,Windows,,Introduction to the Hacker Methodology
GamingServer,https://tryhackme.com/room/gamingserver,easy,challenge,45,35500,2020-08-30,Red,Exploit development; Penetration testing; Red teaming,Linux; Web,John the Ripper; ffuf,An Easy Boot2Root box for beginners
Guided Pentest: Infrastructure,https://tryhackme.com/room/guidedpentestinfrastructure,easy,walkthrough,60,35340,2026-05-21,Red,Network penetration testing; Penetration testing,Linux,Metasploit Framework; Nmap,Understand the steps involved in a real-life pentest and follow them to compromise your target.
x86 Architecture Overview,https://tryhackme.com/room/x8664arch,easy,walkthrough,60,35256,2023-07-18,Blue,Debugging; Malware analysis,,,A crash course in x86 architecture to enable us in malware reverse engineering.
Linux PrivEsc Arena,https://tryhackme.com/room/linuxprivescarena,medium,walkthrough,75,35104,2020-06-23,Red,Penetration testing; Red teaming; Vulnerability analysis,,Hashcat; John the Ripper,Students will learn how to escalate privileges using a very vulnerable Linux VM.  SSH is open.  Your credentials are TCM:Hacker123
Agent T,https://tryhackme.com/room/agentt,easy,challenge,10,35061,2022-08-05,Red,Application penetration testing; Penetration testing; Red teaming; Security analysis; Vulnerability analysis,Linux; Web,Nmap,Something seems a little off with the server.
Advanced SQL Injection,https://tryhackme.com/room/advancedsqlinjection,medium,walkthrough,60,34136,2024-06-11,Red,,Web,Nmap; SQLMap; sqlninja,Learn advanced injection techniques to exploit a web app.
Threat Hunting: Introduction,https://tryhackme.com/room/introductiontothreathunting,easy,walkthrough,45,34073,2023-09-25,Blue,Incident response; Security operations; Threat hunting,,ATT&CK Navigator NEW,"Behind the scenes of Threat Hunting - mindset, process, and goals."
Source,https://tryhackme.com/room/source,easy,challenge,45,34072,2020-07-07,Red,Penetration testing,,,"Exploit a recent vulnerability and hack Webmin, a web-based system configuration tool."
Toolbox: Vim,https://tryhackme.com/room/toolboxvim,easy,walkthrough,45,33884,2019-11-07,Purple,,,,"Learn vim, a universal text editor that can be incredibly powerful when used properly. From basic text editing to editing of binary files, Vim can be an important arsenal in a security toolkit."
Introduction to Antivirus,https://tryhackme.com/room/introtoav,easy,walkthrough,90,33837,2022-07-20,Blue,Malware analysis; Security analysis; Security operations,Linux,CrowdStrike Falcon; Cuckoo Sandbox; Detect it Easy,Understand how antivirus software works and what detection techniques are used to bypass malicious file checks.
Cheese CTF,https://tryhackme.com/room/cheesectfv10,easy,challenge,60,33033,2024-09-24,Red,,Linux,,Inspired by the great cheese talk of THM!
Boiler CTF,https://tryhackme.com/room/boilerctf2,medium,challenge,75,32596,2019-08-22,Red,Application penetration testing; Penetration testing,Linux; Web,,Intermediate level CTF
Learn and win prizes,https://tryhackme.com/room/tickets1,info,walkthrough,30,32452,2021-07-10,,,,,"Complete rooms, win tickets. Get 3 of the same tickets and win a prize."
Intro to Pipeline Automation,https://tryhackme.com/room/introtopipelineautomation,easy,walkthrough,60,31946,2023-01-31,Purple,Detection engineering; DevSecOps; Security analysis,Azure,,This room provides an introduction to DevOps pipeline automation and the potential security concerns.
Introduction to Windows API,https://tryhackme.com/room/windowsapi,easy,walkthrough,60,31309,2022-09-03,Red,Endpoint security monitoring; Red teaming; Security analysis,Windows,,Learn how to interact with the win32 API and understand its wide range of use cases
Chocolate Factory,https://tryhackme.com/room/chocolatefactory,easy,challenge,45,31060,2021-01-17,Red,Penetration testing; Threat hunting,Linux; Web,Hashcat; Nmap,"A Charlie And The Chocolate Factory themed room, revisit Willy Wonka's chocolate factory!"
Network Discovery Detection,https://tryhackme.com/room/networkdiscoverydetection,medium,walkthrough,60,30704,2025-10-01,Blue,Port scanning,N/A,"ELK Stack (Elasticsearch,Logstash,Kibana); Netcat NEW","Understand how attackers discover assets in a network, and how to detect that activity."
Gatekeeper,https://tryhackme.com/room/gatekeeper,medium,challenge,75,30408,2020-05-19,Red,Exploit development; Penetration testing; Red teaming,Windows,Ghidra; Immunity Debugger; WinPeas,Can you get past the gate and through the fire?
AI Models & Data,https://tryhackme.com/room/aimodelsdata,medium,walkthrough,60,30400,2026-04-13,Blue,Model hardening,Artificial intelligence,,"Explore how data is fundamental to AI security, and the models which power it."
Detecting Web Attacks,https://tryhackme.com/room/detectingwebattacks,easy,walkthrough,60,30014,2025-09-11,Blue,Log analysis; Network traffic analysis; Web application security,Web,Wireshark,Explore web attacks and detection methods through log and network traffic analysis.
The Sticker Shop,https://tryhackme.com/room/thestickershop,easy,challenge,120,29727,2024-11-29,Red,,Linux,,Can you exploit the sticker shop in order to capture the flag?
Broken Access Control,https://tryhackme.com/room/owaspbrokenaccesscontrol,easy,walkthrough,30,29465,2023-06-29,Purple,Application penetration testing; Exploit development; Identity and access management (IAC); Penetration testing; Red teaming; Security analysis,Linux,Burp Suite,Exploit Broken Access Control: Number 1 of the Top 10 web security risks.
Room 404,https://tryhackme.com/room/hh-room404-804573bf,easy,challenge,30,29425,2026-07-28,Red,Web application security,Linux,,"He booked the quiet room. It's not on the floor plan, not in the brochure, not on any door. But port 8080 is wide open, and the rooms it never lists are the ones worth finding."
Hack2Win: How you can grab extra tickets,https://tryhackme.com/room/hack2win,info,walkthrough,5,29336,2025-08-25,,,,,"Hack and win! Complete rooms, earn tickets, fill stamp cards, and enter raffles for $40,000+ prizes."
Bolt,https://tryhackme.com/room/bolt,easy,walkthrough,45,29285,2020-08-12,Red,Application penetration testing; Penetration testing,Web,Nmap; searchsploit,A hero is unleashed
MD2PDF,https://tryhackme.com/room/md2pdf,easy,challenge,5,29245,2023-02-10,Red,Application penetration testing; Penetration testing; Red teaming; Vulnerability analysis,Web,,TopTierConversions LTD is proud to present its latest product launch.
Linux Logging for SOC,https://tryhackme.com/room/linuxloggingforsoc,easy,walkthrough,45,28986,2025-09-17,Blue,Log analysis; Log correlation; Security analysis,Linux,,Explore key Linux log sources and learn how to use them in your SOC triage.
Preparation,https://tryhackme.com/room/preparation,medium,walkthrough,60,28463,2023-09-05,Blue,Incident documentation; Incident management; Incident response; Logging,Windows,TheHive,A look into the Preparation phase of the Incident Response.
Sudo Security Bypass,https://tryhackme.com/room/sudovulnsbypass,info,walkthrough,30,28416,2020-02-09,Red,Penetration testing; Red teaming; Security analysis,,,A tutorial room exploring CVE-2019-14287 in the Unix Sudo Program. Room One in the SudoVulns Series
Light,https://tryhackme.com/room/lightroom,easy,challenge,60,28380,2025-01-17,Red,Application penetration testing,Linux,,Welcome to the Light database application!
Tor,https://tryhackme.com/room/torforbeginners,easy,walkthrough,45,28359,2020-01-28,Red,Red teaming,,,A beginner orienteered guide on using the Tor network
MBR and GPT Analysis,https://tryhackme.com/room/mbrandgptanalysis,medium,walkthrough,80,28352,2025-01-22,Blue,Digital forensics,Linux; Windows,FTK Imager,Learn how MBR and GPT forensics are carried out to identify attacks during the boot process.
Team,https://tryhackme.com/room/teamcw,easy,challenge,45,28346,2021-03-05,Red,Penetration testing; Red teaming,,,Beginner friendly boot2root machine
Breaking Crypto the Simple Way,https://tryhackme.com/room/breakingcryptothesimpleway,easy,walkthrough,60,28182,2025-04-08,Red,Application penetration testing,Web,Burp Suite,Exploiting common cryptographic mistakes.
Reversing ELF,https://tryhackme.com/room/reverselfiles,easy,challenge,45,28074,2019-11-25,Purple,Exploit development; Security analysis,,,Room for beginner Reverse Engineering CTF players
ColddBox: Easy,https://tryhackme.com/room/colddboxeasy,easy,challenge,70,27936,2021-01-06,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,nc,An easy level machine with multiple ways to escalate privileges. By Hixec.
Archangel,https://tryhackme.com/room/archangel,easy,challenge,45,27785,2021-02-03,Red,Application penetration testing; Network penetration testing; Penetration testing,Linux; Web,,"Boot2root, Web exploitation, Privilege escalation, LFI"
Mustacchio,https://tryhackme.com/room/mustacchio,easy,challenge,45,27710,2021-06-11,Red,Penetration testing; Vulnerability analysis,Linux; Web,,Easy boot2root Machine
U.A. High School,https://tryhackme.com/room/yueiua,easy,challenge,60,27707,2024-08-23,Red,,Linux,,"Welcome to the web application of U.A., the Superhero Academy."
Bypass Disable Functions,https://tryhackme.com/room/bypassdisablefunctions,info,challenge,60,27474,2021-09-10,Red,Penetration testing; Red teaming,Linux,Metasploit Framework; Responder; Veil-Framework,Practice bypassing disabled dangerous features that run operating system commands or start processes.
Getting Started,https://tryhackme.com/room/gettingstarted,easy,walkthrough,45,27329,2020-09-27,Red,Brute force attacks; Code review; Directory enumeration,Web,,Get started with TryHackMe by hacking a fake social media website!
